"","institution","state","plan","city","sector","groffer","hbcu","hospital","locale","c18ugprf","f1systyp","countynm","Size","Application","Enrollment","Endowment","Total_Expense","Total_Revenue","Total_Liabilities","Tuition","Total_Asset","Type","Gift","calsys","slo","dstnugc","dstngc","distcrs","disabpct","alloncam","room","roomcap","board","indistrictug","instateug","outstateug","indistrictg","instateg","outstateg","eftotlt_1","eftotlt_2","eftotlt_12","eftotlt_21","eftotlt_22","eftotlt_32","eftotlt_41","eftotlt_42","eftotlt_52","number_locations","internationals","efdeexc_1","efdeexc_2","efdeexc_3","efdeexc_12","efdesom_1","efdesom_2","efdesom_3","efdesom_12","rrptct","stufacr","eaptot_10000","eaptot_10050","eaptot_27000","eaptot_30000","eaptot_37000","eaptot_10010","eaptot_10020","eaptot_10030","eappt_10000","eappt_10050","eappt_27000","eappt_30000","eappt_37000","eappt_10010","eappt_10020","eappt_10030","state.cases","state.deaths","county.cases","county.deaths","sainstt_7","sa_9mct_7","satotlt_7","sa09mct_7","sa10mct_7","sa11mct_7","sa12mct_7","saoutlt_7","sa09mot_7","sa10mot_7","sa11mot_7","sa12mot_7","saeq9ot_7","saeq9at_7","sa09mat_7","sa10mat_7","sa11mat_7","sa12mat_7","sainstt_1","sa_9mct_1","satotlt_1","sa09mct_1","sa10mct_1","sa11mct_1","sa12mct_1","saoutlt_1","sa09mot_1","sa10mot_1","sa11mot_1","sa12mot_1","saeq9ot_1","saeq9at_1","sa09mat_1","sa10mat_1","sa11mat_1","sa12mat_1","sainstt_2","sa_9mct_2","satotlt_2","sa09mct_2","sa10mct_2","sa11mct_2","sa12mct_2","saoutlt_2","sa09mot_2","sa10mot_2","sa11mot_2","sa12mot_2","saeq9ot_2","saeq9at_2","sa09mat_2","sa10mat_2","sa11mat_2","sa12mat_2","sainstt_3","sa_9mct_3","satotlt_3","sa09mct_3","sa10mct_3","sa11mct_3","sa12mct_3","saoutlt_3","sa09mot_3","sa10mot_3","sa11mot_3","sa12mot_3","saeq9ot_3","saeq9at_3","sa09mat_3","sa10mat_3","sa11mat_3","sa12mat_3","sainstt_4","sa_9mct_4","satotlt_4","sa09mct_4","sa10mct_4","sa11mct_4","sa12mct_4","saoutlt_4","sa09mot_4","sa10mot_4","sa11mot_4","sa12mot_4","saeq9ot_4","saeq9at_4","sa09mat_4","sa10mat_4","sa11mat_4","sa12mat_4","sainstt_5","sa_9mct_5","satotlt_5","sa09mct_5","sa10mct_5","sa11mct_5","sa12mct_5","saoutlt_5","sa09mot_5","sa10mot_5","sa11mot_5","sa12mot_5","saeq9ot_5","saeq9at_5","sa09mat_5","sa10mat_5","sa11mat_5","sa12mat_5","sainstt_6","sa_9mct_6","satotlt_6","sa09mct_6","sa10mct_6","sa11mct_6","sa12mct_6","saoutlt_6","sa09mot_6","sa10mot_6","sa11mot_6","sa12mot_6","saeq9ot_6","saeq9at_6","sa09mat_6","sa10mat_6","sa11mat_6","sa12mat_6","sanin01","sanin02","sanin03","sanin04","sanin05","sanin06","sanin07","sanin08","sanin09","sanin10","sanin11","sanin12","sanin13","sanin14","sanit01","sanit02","sanit03","sanit04","sanit05","sanit06","sanit07","sanit08","sanit09","sanit10","sanit11","sanit12","sanit13","sanit14","text_length","Sent_Score","Sentiment"
"130","Dartmouth College","NH","Considering a range of scenarios","Hanover",1,0,1,1,8,13,1,"Grafton",2,22033,1167,5494203052,884086291,1546037515,1828018364,216174623,6458082664,"Private non-profit",411689112,1,0,0,1,1,7,0,0,3801,0,53496,53496,53496,53496,53496,53496,6572,4418,2154,6436,4357,2079,136,61,75,58,98,0,NA,NA,0,140,NA,NA,140,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4389,232,74,1,591,1,590,431,11,0,148,88076068,66252117,572265,0,21251686,82705920,140180,153717,52024,NA,143592,246,0,246,199,2,0,45,49474307,39618257,215300,0,9640750,47042590,191230,199087,107650,NA,214239,160,0,160,139,1,0,20,21347936,17191860,129875,0,4026201,20328398,127052,123682,129875,NA,201310,116,0,116,93,0,0,23,12237400,9442000,0,0,2795400,11538550,99470,101527,NA,NA,121539,8,0,8,0,3,0,5,170300,0,45000,0,125300,134475,16809,NA,15000,NA,25060,56,1,55,0,2,0,53,4706875,0,138690,0,4568185,3550960,64563,NA,69345,NA,86192,5,0,5,0,3,0,2,139250,0,43400,0,95850,110948,22190,NA,14467,NA,47925,2467,29,0,369,354,128,411,298,13,358,4,382,103,18,184012389,3039841,0,23548945,55368684,9944289,29783503,21036095,703387,15325856,148344,18235877,6083576,793992,4954,0.9974,"Positive"
"131","Davidson College","NC","Considering a range of scenarios","Davidson",1,1,1,1,3,13,1,"Mecklenburg",1,5724,515,814534883,129291442,217445155,110983022,41998684,1131568698,"Private non-profit",47240541,0,0,0,NA,0,12,0,0,1752,0,50938,50938,50938,NA,NA,NA,1843,1843,NA,1843,1843,NA,NA,NA,NA,41,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25616,859,3605,85,210,0,210,205,0,0,5,21996470,21526342,0,0,470128,21878938,104185,105007,NA,NA,94026,99,0,99,98,0,0,1,13205861,13089335,0,0,116526,13176730,133098,133565,NA,NA,116526,33,0,33,32,0,0,1,3234864,3160589,0,0,74275,3216295,97463,98768,NA,NA,74275,69,0,69,66,0,0,3,4963038,4683711,0,0,279327,4893206,70916,70965,NA,NA,93109,3,0,3,3,0,0,0,189000,189000,0,0,0,189000,63000,63000,NA,NA,NA,3,0,3,3,0,0,0,209753,209753,0,0,0,209753,69918,69918,NA,NA,NA,3,0,3,3,0,0,0,193954,193954,0,0,0,193954,64651,64651,NA,NA,NA,576,0,0,40,32,69,46,122,8,141,9,76,33,0,34837307,0,0,2503145,4623524,5160081,3279196,7956015,480490,5167751,478565,3424068,1764472,0,3129,0.9745,"Positive"
"132","Denison University","OH","Planning for in-person","Granville",1,1,1,1,5,13,1,"Licking",1,8042,654,850415849,126599413,187818728,212536517,45190490,1064838272,"Private non-profit",30211066,0,0,0,NA,0,12,1,0,2306,0,50790,50790,50790,NA,NA,NA,2394,2394,NA,2365,2365,NA,29,29,NA,47,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33915,2098,222,10,257,0,257,257,0,0,0,21376750,21376750,0,0,0,21376750,83178,83178,NA,NA,NA,44,0,44,44,0,0,0,5301300,5301300,0,0,0,5301300,120484,120484,NA,NA,NA,99,0,99,99,0,0,0,8605200,8605200,0,0,0,8605200,86921,86921,NA,NA,NA,100,0,100,100,0,0,0,6635700,6635700,0,0,0,6635700,66357,66357,NA,NA,NA,14,0,14,14,0,0,0,834550,834550,0,0,0,834550,59611,59611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,0,0,28,119,29,27,38,14,72,0,92,24,0,26436235,0,0,901080,11840756,1676978,1898848,1676268,652699,2444117,0,3878159,1467330,0,521,0.6486,"Positive"
"133","DePaul University","IL","Planning for in-person","Chicago",1,0,1,1,0,12,1,"Cook",4,26169,2570,593407000,540949000,598019000,600148000,474316000,1089901000,"Private non-profit",23898000,1,1,1,1,1,7,1,0,2826,1,39369,39369,39369,19032,19032,19032,22437,14507,7930,18185,12795,5390,4252,1712,2540,49,1,1835,624,609,1211,4606,3768,3742,838,3,15,3530,1243,291,261,291,1851,557,139,1180,176,95,2,34,944,0,0,116128,5225,75306,3519,907,0,907,873,0,34,0,89852977,86085659,0,3767318,0,89167325,98310,98609,NA,110803,NA,203,0,203,195,0,8,0,27378347,26146767,0,1231580,0,27154199,133765,134086,NA,153948,NA,357,0,357,338,0,19,0,35316851,33367143,0,1949708,0,34962004,97933,98719,NA,102616,NA,141,0,141,136,0,5,0,12047644,11611614,0,436030,0,11968287,84881,85380,NA,87206,NA,206,0,206,204,0,2,0,15110135,14960135,0,150000,0,15082835,73218,73334,NA,75000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1443,0,0,226,259,216,176,190,0,91,0,257,22,6,106151161,0,0,14422752,31873729,15094118,13324518,14014416,0,3856079,0,11291077,2023162,251310,3915,0.9974,"Positive"
"134","DePauw University","IN","Planning for in-person","Greencastle",1,1,1,1,7,13,1,"Putnam",1,5476,564,730849941,117091934,169585445,193497448,39568911,867107545,"Private non-profit",34110694,3,0,0,NA,0,NA,1,0,1500,1,48860,48860,48860,NA,NA,NA,2156,2156,NA,2139,2139,NA,17,17,NA,37,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,748,289,NA,50,66,287,160,31,110,45,NA,0,7,38,0,0,33885,2068,140,7,217,0,217,217,0,0,0,18863269,18863269,0,0,0,18863269,86928,86928,NA,NA,NA,108,0,108,108,0,0,0,10936410,10936410,0,0,0,10936410,101263,101263,NA,NA,NA,53,0,53,53,0,0,0,4213065,4213065,0,0,0,4213065,79492,79492,NA,NA,NA,56,0,56,56,0,0,0,3713794,3713794,0,0,0,3713794,66318,66318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421,0,0,22,50,80,37,83,4,69,0,59,17,0,23552515,0,0,1262584,5911013,4331957,2044013,4437856,200000,2472006,0,2246164,646922,0,5230,0.998,"Positive"
"135","Dickinson College","PA","Considering a range of scenarios","Carlisle",1,1,1,1,2,13,1,"Cumberland",1,6248,635,437527413,136121013,162490598,161154855,69748845,557000559,"Private non-profit",15868726,0,0,0,NA,0,17,1,0,2178,1,54186,54186,54186,NA,NA,NA,2399,2399,NA,2361,2361,NA,38,38,NA,33,86,NA,NA,NA,NA,NA,NA,NA,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74312,5397,618,47,238,0,238,238,0,0,0,20002750,20002750,0,0,0,20002750,84045,84045,NA,NA,NA,60,0,60,60,0,0,0,6410200,6410200,0,0,0,6410200,106837,106837,NA,NA,NA,81,0,81,81,0,0,0,6874500,6874500,0,0,0,6874500,84870,84870,NA,NA,NA,75,0,75,75,0,0,0,5364550,5364550,0,0,0,5364550,71527,71527,NA,NA,NA,22,0,22,22,0,0,0,1353500,1353500,0,0,0,1353500,61523,61523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,0,0,61,88,39,51,56,6,149,0,120,29,11,32353909,0,0,3347996,9480753,2293051,3067161,3235583,327164,4776744,0,4044516,1410804,370137,3091,0.9928,"Positive"
"136","Dominican University","IL","Planning for in-person","River Forest",1,0,1,1,3,12,0,"Cook",1,4813,447,35577238,72450820,75759377,43944576,51618018,96639296,"Private non-profit",4673065,0,0,1,1,1,8,1,0,610,1,32964,32964,32964,20176,20176,20176,2990,2106,884,2315,1974,341,675,132,543,23,NA,163,16,16,147,1160,716,714,444,0,10,698,191,31,61,86,388,110,31,297,62,14,3,18,212,0,0,116128,5225,75306,3519,158,0,158,158,0,0,0,11667730,11667730,0,0,0,11667730,73846,73846,NA,NA,NA,48,0,48,48,0,0,0,4226411,4226411,0,0,0,4226411,88050,88050,NA,NA,NA,47,0,47,47,0,0,0,3266219,3266219,0,0,0,3266219,69494,69494,NA,NA,NA,30,0,30,30,0,0,0,1967440,1967440,0,0,0,1967440,65581,65581,NA,NA,NA,1,0,1,1,0,0,0,59225,59225,0,0,0,59225,59225,59225,NA,NA,NA,32,0,32,32,0,0,0,2148435,2148435,0,0,0,2148435,67139,67139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,0,0,28,58,23,14,24,0,19,0,68,9,0,15555941,0,0,1136568,6156687,1603504,908091,1299417,0,624714,0,3318504,508456,0,2680,0.9978,"Positive"
"137","Dominican University of California","CA","Planning for in-person","San Rafael",1,0,1,1,2,12,1,"Marin",1,1909,289,36247440,57845332,56545344,32892577,40628807,105446637,"Private non-profit",2892436,0,1,0,0,0,7,1,0,545,0,45350,45350,45350,17370,17370,17370,1779,1355,424,1430,1135,295,349,220,129,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,616,198,40,65,59,344,46,32,316,54,11,5,31,231,0,0,104071,4042,439,14,106,0,106,87,0,0,19,8756890,6661029,0,0,2095861,8232925,77669,76564,NA,NA,110308,29,0,29,20,0,0,9,3042664,1840327,0,0,1202337,2742080,94554,92016,NA,NA,133593,19,0,19,18,0,0,1,1493862,1387079,0,0,106783,1467166,77219,77060,NA,NA,106783,58,0,58,49,0,0,9,4220364,3433623,0,0,786741,4023679,69374,70074,NA,NA,87416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,0,0,36,60,8,15,29,3,7,0,28,8,0,15042544,0,0,2165309,6997740,534376,1146238,1760160,195094,301512,0,1522547,419568,0,5598,0.9995,"Positive"
"138","Dordt College","IA","Planning for in-person","Sioux Center",1,0,1,1,8,13,1,"Sioux",1,1386,328,44133818,39442754,46633051,19738280,22228120,129894685,"Private non-profit",7863047,0,0,1,1,1,NA,1,0,1311,0,30330,30330,30330,5760,5760,5760,1564,1424,140,1343,1342,1,221,82,139,26,20,138,3,0,135,36,35,30,1,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18672,510,213,0,83,0,83,0,83,0,0,5478267,0,5478267,0,0,4930440,59403,NA,66003,NA,NA,38,0,38,0,38,0,0,2837921,0,2837921,0,0,2554129,67214,NA,74682,NA,NA,22,0,22,0,22,0,0,1381848,0,1381848,0,0,1243663,56530,NA,62811,NA,NA,12,0,12,0,12,0,0,723718,0,723718,0,0,651346,54279,NA,60310,NA,NA,11,0,11,0,11,0,0,534780,0,534780,0,0,481302,43755,NA,48616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,0,0,7,30,5,8,35,1,12,0,22,5,2,6786044,0,0,208276,2369177,340258,511212,1728496,60384,449409,0,833852,228248,56732,2327,0.9698,"Positive"
"139","Drake University","IA","Planning for in-person","Des Moines",1,0,1,1,1,13,1,"Polk",1,6886,749,219494332,149685990,156569440,121454856,87285019,378908545,"Private non-profit",17112375,0,1,1,1,1,NA,1,0,1577,0,41250,41250,41250,10260,10260,10260,4869,3015,1854,3760,2834,926,1109,181,928,31,10,192,0,0,192,235,193,189,42,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18672,510,3959,119,309,0,309,247,0,62,0,27618800,21194622,0,6424178,0,26449600,85597,85808,NA,103616,NA,101,0,101,84,0,17,0,10998255,8821799,0,2176456,0,10602140,104972,105021,NA,128027,NA,132,0,132,103,0,29,0,11095068,8314358,0,2780710,0,10588979,80220,80722,NA,95887,NA,72,0,72,57,0,15,0,5241481,3868105,0,1373376,0,4991527,69327,67861,NA,91558,NA,4,0,4,3,0,1,0,283996,190360,0,93636,0,266954,66739,63453,NA,93636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680,1,0,93,57,43,72,83,1,85,0,217,26,2,36701883,53754,0,4449280,6595598,2712502,4279808,4828012,56246,2975180,0,9499759,1168586,83158,796,0.8658,"Positive"
"140","Drew University","NJ","Considering a range of scenarios","Madison",1,0,1,1,3,11,1,"Morris",1,3788,420,91632000,94063000,74144000,117108000,33166000,186084000,"Private non-profit",10267000,0,0,0,1,1,12,1,0,1437,1,38668,38668,38668,14214,14214,14214,2263,1668,595,1882,1634,248,381,34,347,35,28,27,NA,NA,27,81,NA,NA,81,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157815,11401,6354,605,150,0,150,150,0,0,0,12196888,12196888,0,0,0,12196888,81313,81313,NA,NA,NA,53,0,53,53,0,0,0,5301129,5301129,0,0,0,5301129,100021,100021,NA,NA,NA,53,0,53,53,0,0,0,4056116,4056116,0,0,0,4056116,76530,76530,NA,NA,NA,43,0,43,43,0,0,0,2784143,2784143,0,0,0,2784143,64748,64748,NA,NA,NA,1,0,1,1,0,0,0,55500,55500,0,0,0,55500,55500,55500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,0,0,47,58,35,15,52,2,22,0,52,5,2,19380231,0,0,2399907,6821067,2388308,1087117,3018446,133256,873765,0,2335556,266965,55844,6425,0.9968,"Positive"
"141","Drexel University","PA","Waiting to decide","Philadelphia",1,0,1,1,0,14,1,"Philadelphia",4,30242,3353,779762000,1019498000,1102256000,841853000,603815000,1338089000,"Private non-profit",71132000,1,1,1,1,1,NA,1,0,4143,1,50874,50874,50874,34155,34155,34155,24634,15724,8910,18312,13942,4370,6322,1782,4540,44,261,1437,559,556,878,1528,1364,1361,164,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74312,5397,22150,1282,1099,0,1099,771,0,0,328,120324950,85468005,0,0,34856945,111610714,101557,110853,NA,NA,106271,243,0,243,218,0,0,25,39080046,33744388,0,0,5335658,37746132,155334,154791,NA,NA,213426,218,0,218,195,0,0,23,25484158,22384681,0,0,3099477,24709289,113345,114793,NA,NA,134760,128,0,128,114,0,0,14,12746386,11330258,0,0,1416128,12392354,96815,99388,NA,NA,101152,510,0,510,244,0,0,266,43014360,18008678,0,0,25005682,36762940,72084,73806,NA,NA,94006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2430,56,0,148,321,671,262,221,20,292,0,338,68,33,165827629,2668388,0,8223727,42570015,46334016,17960645,11635354,1222068,14382014,0,15134521,4139056,1557825,5560,0.9704,"Positive"
"142","Drury University","MO","Planning for in-person","Springfield",1,0,1,1,1,8,1,"Greene",1,1754,377,97040489,53144680,64966490,46362173,18563824,140352884,"Private non-profit",12799033,0,0,1,1,1,NA,1,0,1029,1,27350,27350,27350,8622,8622,8622,1730,1490,240,1631,1462,169,99,28,71,26,15,153,0,0,153,164,132,131,32,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12815,715,124,8,112,0,112,70,0,0,42,7517223,4595733,0,0,2921490,6786851,60597,65653,NA,NA,69559,34,0,34,16,0,0,18,2585272,1165184,0,0,1420088,2230250,65596,72824,NA,NA,78894,42,0,42,27,0,0,15,2732043,1711989,0,0,1020054,2477030,58977,63407,NA,NA,68004,28,0,28,22,0,0,6,1836502,1509381,0,0,327121,1754722,62669,68608,NA,NA,54520,5,0,5,4,0,0,1,216760,164240,0,0,52520,203630,40726,41060,NA,NA,52520,3,0,3,1,0,0,2,146646,44939,0,0,101707,121219,40406,44939,NA,NA,50854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,0,0,39,22,13,18,31,3,42,0,43,17,0,9808143,0,0,1593439,2412504,699985,733981,1421890,118690,1034977,0,1234253,558424,0,NA,NA,NA
"143","Duke University","NC","Planning for in-person","Durham",1,0,1,0,0,13,1,"Durham",3,35786,1745,8524846000,6186274000,7477591000,5835996000,507008000,15004681000,"Private non-profit",861809000,0,0,0,1,1,NA,0,0,6025,1,53760,53760,53760,53540,53540,53540,16606,6682,9924,15700,6659,9041,906,23,883,53,131,790,NA,NA,790,220,NA,NA,220,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25616,859,1411,46,1410,83,1327,1185,10,13,119,199474292,183549704,774830,2389663,12760095,195771867,147530,154894,77483,183820,107228,657,26,631,603,1,7,20,128776109,122634849,81900,1768968,4290392,127373369,201860,203375,81900,252710,214520,297,15,282,259,2,2,19,36152188,33636403,214450,294250,2007085,35575418,126154,129870,107225,147125,105636,219,15,204,173,1,3,27,21208443,18480603,91150,280200,2356490,20559209,100780,106824,91150,93400,87277,92,12,80,51,2,1,26,5042954,2842899,112640,46245,2041170,4512981,56412,55743,56320,46245,78507,145,15,130,99,4,0,27,8294598,5954950,274690,0,2064958,7750890,59622,60151,68673,NA,76480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7255,667,0,187,920,1096,869,518,631,832,52,1187,146,150,479273663,37054875,0,12542968,102924633,73875664,67260846,46184879,40296428,31570708,2185048,51279381,8633786,5464447,6879,0.9966,"Positive"
"144","Duquesne University","PA","Planning for in-person","Pittsburgh",1,0,1,1,0,13,1,"Allegheny",2,7505,1507,370371000,283203000,325642000,249231000,212897000,496401000,"Private non-profit",26626000,0,1,1,1,1,8,1,0,3779,0,38178,38178,38178,23112,23112,23112,9274,6013,3261,8867,5896,2971,407,117,290,37,17,564,64,64,500,1144,807,807,337,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74312,5397,1851,161,494,0,494,333,0,0,161,46213873,30081495,0,0,16132378,42180779,85386,90335,NA,NA,100201,99,0,99,68,0,0,31,11969038,8078061,0,0,3890977,10996294,111074,118795,NA,NA,125515,184,0,184,128,0,0,56,17744698,11794340,0,0,5950358,16257109,88354,92143,NA,NA,106256,184,0,184,118,0,0,66,14684421,9052925,0,0,5631496,13276547,72155,76720,NA,NA,85326,24,0,24,16,0,0,8,1614516,954969,0,0,659547,1449629,60401,59686,NA,NA,82443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,3,0,0,0,201200,201200,0,0,0,201200,67067,67067,NA,NA,NA,1048,0,0,74,92,306,76,63,8,168,0,201,50,10,65974023,0,0,4499753,12180553,20065133,4925924,4684699,367673,7751996,0,7961254,2951212,585826,7674,0.9984,"Positive"
"145","Earlham College","IN","Planning for in-person","Richmond",1,0,1,1,7,13,1,"Wayne",1,2119,271,429201775,65116831,71808495,111080531,13601876,490196245,"Private non-profit",11510671,0,0,0,1,1,12,1,0,1040,0,45500,45500,45500,20500,20500,20500,1104,1050,54,1074,1043,31,30,7,23,40,55,8,NA,NA,8,15,NA,NA,15,NA,10,369,152,48,22,47,133,56,31,39,16,8,0,1,13,0,0,33885,2068,221,6,121,0,121,121,0,0,0,7003318,7003318,0,0,0,7003318,57879,57879,NA,NA,NA,27,0,27,27,0,0,0,2317825,2317825,0,0,0,2317825,85845,85845,NA,NA,NA,34,0,34,34,0,0,0,1894824,1894824,0,0,0,1894824,55730,55730,NA,NA,NA,43,0,43,43,0,0,0,2202561,2202561,0,0,0,2202561,51222,51222,NA,NA,NA,17,0,17,17,0,0,0,588108,588108,0,0,0,588108,34595,34595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,0,2,50,22,15,10,33,3,12,4,46,10,2,10498249,0,86632,2716203,2283712,1045144,757050,1216566,147322,299886,233500,1347590,285958,78686,1288,0.8225,"Positive"
"146","East Carolina University","NC","Planning for in-person","Greenville",0,0,1,1,2,12,0,"Pitt",4,17499,4106,200769617,920479008,962720696,1401022379,203201275,1694049263,"Public",NA,0,0,1,1,1,5,1,0,5408,1,4452,4452,4452,4749,4749,17898,28718,23071,5647,22087,19562,2525,6631,3509,3122,32,9,6812,3603,2963,3209,6148,5507,5495,641,50,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25616,859,273,2,1260,0,1260,962,1,4,293,105510678,74943519,47020,603269,29916870,97916964,77712,77904,47020,150817,102105,249,0,249,188,0,4,57,27717989,19710623,0,603269,7404097,25757170,103442,104844,NA,150817,129896,385,0,385,336,0,0,49,32074643,27085795,0,0,4988848,30827431,80071,80612,NA,NA,101813,218,0,218,174,0,0,44,16978767,13328025,0,0,3650742,16066082,73698,76598,NA,NA,82971,2,0,2,1,0,0,1,149716,78869,0,0,70847,132004,66002,78869,NA,NA,70847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406,0,406,263,1,0,142,28589563,14740207,47020,0,13802336,25134277,61907,56046,47020,NA,97200,3875,4,9,262,198,267,362,292,306,619,3,1228,298,27,214606948,248580,1392513,15021448,30234448,19249408,23664659,19252500,20085535,22327920,99700,47349838,14728889,951510,3611,0.9984,"Positive"
"147","East Tennessee State University","TN","Waiting to decide","Johnson City",0,0,1,1,2,12,1,"Washington",3,8009,1960,122862162,371594412,401903728,280440204,114086647,522079882,"Public",NA,0,1,1,1,1,6,1,0,3015,1,7080,7080,7080,8460,8460,23598,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,8,2060,967,860,1093,5895,5324,5273,571,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21763,356,75,0,601,0,601,454,0,0,147,42728239,29543050,0,0,13185189,39431942,65611,65073,NA,NA,89695,154,0,154,106,0,0,48,14308326,9102289,0,0,5206037,13006817,84460,85871,NA,NA,108459,164,0,164,129,0,0,35,12187503,8961403,0,0,3226100,11380978,69396,69468,NA,NA,92174,180,0,180,140,0,0,40,11717745,8412412,0,0,3305333,10891412,60508,60089,NA,NA,82633,31,0,31,17,0,0,14,1825029,901924,0,0,923105,1594253,51428,53054,NA,NA,65936,66,0,66,58,0,0,8,2478511,2053897,0,0,424614,2372358,35945,35412,NA,NA,53077,6,0,6,4,0,0,2,211125,111125,0,0,100000,186125,31021,27781,NA,NA,50000,1179,9,6,23,333,80,39,129,40,147,0,302,60,11,54967257,754048,448782,905099,23035786,3537487,2064563,7442376,2160878,3420331,0,9144403,1808968,244536,8694,0.995,"Positive"
